epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.72608,2.20838,5.28119,2.5633,0.41078,0.16885,0.12377,0.06257,2.41311,9.82852,2.9684,7.659e-05,7.659e-05,7.659e-05
2,18.1138,1.896,3.1485,2.13405,0.54238,0.24137,0.28372,0.12952,2.28862,3.14388,2.73487,0.000153411,0.000153411,0.000153411
3,27.1011,1.67321,2.64468,1.94149,0.37644,0.35607,0.3169,0.14657,2.21321,2.94468,2.60474,0.000227067,0.000227067,0.000227067
4,36.32,1.61612,2.35727,1.89531,0.39278,0.3951,0.38284,0.18232,2.21699,2.60274,2.6716,0.000297559,0.000297559,0.000297559
5,44.7234,1.51038,2.18525,1.8083,0.48611,0.37526,0.38424,0.1811,2.28202,2.65554,2.72889,0.000306626,0.000306626,0.000306626
6,53.2546,1.4669,1.99903,1.78703,0.52779,0.48748,0.46813,0.25836,2.30296,2.34647,2.84979,0.000300033,0.000300033,0.000300033
7,62.449,1.44766,1.95924,1.76876,0.41569,0.44764,0.43349,0.22219,2.22888,2.27035,2.77997,0.00029344,0.00029344,0.00029344
8,72.8491,1.37629,1.83264,1.71621,0.46896,0.42104,0.40664,0.18729,2.1298,2.2282,2.68936,0.000286846,0.000286846,0.000286846
9,81.361,1.33715,1.81661,1.68632,0.57189,0.50468,0.51511,0.23234,2.11297,2.02587,2.7162,0.000280253,0.000280253,0.000280253
10,90.2111,1.3145,1.68678,1.66621,0.55576,0.51311,0.55201,0.26703,2.14376,1.80944,2.66694,0.000273659,0.000273659,0.000273659
11,99.5159,1.2623,1.74119,1.66961,0.50858,0.44703,0.5075,0.23357,2.13579,2.02824,2.66141,0.000267066,0.000267066,0.000267066
12,107.835,1.23701,1.62767,1.61938,0.67483,0.35449,0.47255,0.21928,2.16303,2.02577,2.68813,0.000260473,0.000260473,0.000260473
13,116.694,1.19751,1.53088,1.60025,0.50008,0.49737,0.5179,0.24997,2.03485,1.93384,2.62225,0.000253879,0.000253879,0.000253879
14,125.659,1.26233,1.63326,1.6351,0.62158,0.50936,0.55005,0.2727,1.97476,1.85406,2.58725,0.000247286,0.000247286,0.000247286
